

 + Main results

   HIT=	57,8 	MPa *not real
   EIT=	24 	GPa *not real
   E*=	2	GPa *not real

 + Hypothesis

   Poisson's ratio(nu)=	0,1 

 + Additional results

   HVIT=	 	 Vickers
   CIT	3,29 	%
   nIT=	
   Fmax=	1,00 	mN
   hmax=	0,8
   S=	=
   F/S²=	==
   hc= 100 	nm
   hr=	85 	nm
   hp=	61 	nm
   m=	1,7323 
   Epsilon=	0,74 
   R2=	0,999
   Ap=	109 	nm²
   Welast=	5,68 pJ
   Wplast=	25,79 pJ
   Wtotal=	31,47 pJ
   Er=	220 	GPa

Measured values
Time (s)	Pd (nm)	Fn (mN)	FnRef (mN)	SegmentID

0	0	0	0,5004	0
0,0647	2,0046	0,0004	0,5003	0
0,1294	3,7221	0,0015	0,5003	1
0,1941	5,0951	0,0034	0,5003	1
0,2588	6,0063	0,0066	0,5003	1
0,3235	6,7873	0,01	0,5003	1
0,3882	7,421	0,0135	0,5003	1
0,4529	7,8914	0,0163	0,5003	1
0,5176	8,2998	0,0187	0,5003	1
0,5823	8,6401	0,0205	0,5003	1
0,647	9,0095	0,0225	0,5004	1
0,7117	9,3861	0,0245	0,5004	1
0,7764	9,7448	0,0268	0,5004	1
0,8411	10,0713	0,029	0,5003	1
0,9058	10,3796	0,0312	0,5003	1
0,9705	10,691	0,0332	0,5003	1
1,0352	11,0653	0,0352	0,5004	1
1,0999	11,4923	0,0374	0,5004	1
1,1646	11,9362	0,0396	0,5003	1
1,2293	12,3491	0,0417	0,5003	1
1,294	12,7247	0,044	0,5003	1
1,3587	13,0808	0,0462	0,5003	1
1,4234	13,431	0,0483	0,5003	1
1,4881	13,774	0,0504	0,5003	1
1,5528	14,0948	0,0526	0,5003	1
1,6175	14,4046	0,0548	0,5003	1
1,6822	14,698	0,057	0,5003	1
1,7469	14,9756	0,0592	0,5004	1
1,8116	15,2446	0,0613	0,5004	1
2,7821	18,666	0,0936	0,5002	1
2,8468	18,8884	0,0958	0,5003	1
2,9115	19,1347	0,0979	0,5003	1
2,9762	19,4909	0,1	0,5003	1
3,0409	19,8375	0,1021	0,5003	1
3,1056	20,1694	0,1042	0,5003	1
3,1703	20,4062	0,1066	0,5003	1
3,235	20,6375	0,1088	0,5003	1
3,2997	20,8639	0,1109	0,5003	1
3,3644	21,1876	0,1129	0,5003	1
3,4291	21,5389	0,115	0,5003	1
3,4938	21,9237	0,1173	0,5003	1
